ProbeID	brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
37931_at	2451	2483	1855	1564	1616	1327	1943	2011
37932_at	43	94	250	64	57	124	64	155
37933_at	27	37	37	33	14	12	25	20
37934_at	30	68	17	12	107	105	127	32
37935_at	372	317	656	533	359	532	366	282
37936_at	289	235	342	422	476	423	230	302
37937_at	56	65	70	61	57	27	60	44
37938_at	153	68	146	126	72	38	55	83
37939_at	597	743	1110	658	987	1013	1376	968
37940_f_at	162	351	198	389	1150	953	837	714
37941_at	167	115	237	138	263	54	153	73
37942_at	865	1033	427	323	123	66	69	85
37943_at	155	142	239	319	237	281	242	245
37944_at	117	49	87	18	989	1115	387	367
37945_at	2656	3091	1580	1753	1104	1226	1366	1093
37946_at	48	17	51	156	184	146	43	199
37947_at	1006	1244	2565	2703	1553	1402	143	913
37948_at	264	187	273	283	115	81	54	21
37949_at	127	114	164	215	71	9	44	32
37950_at	450	447	371	439	241	323	260	315
37951_at	406	518	227	273	849	1407	282	363
37952_at	24	15	58	28	262	310	81	41
37953_s_at	348	356	603	543	69	178	77	94
37954_at	58	32	75	45	76	52	55	89
37955_at	1879	1699	783	949	2037	2118	1759	1453
37956_at	162	93	49	83	106	106	343	313
37957_at	27	40	99	47	104	121	33	254
37958_at	727	436	577	772	81	128	53	14
37959_at	256	500	331	577	441	278	82	64
37960_at	420	616	507	539	472	654	198	190
37961_at	1023	788	848	732	336	319	502	477
37962_r_at	296	183	283	324	143	123	81	68
37963_at	289	252	75	97	594	407	1156	1391
37964_at	303	247	978	1035	338	361	28	153
37965_at	390	334	327	327	577	491	418	460
37966_at	252	297	81	139	382	373	225	235
37967_at	208	365	131	68	597	674	1234	401
37968_at	85	126	205	197	107	253	81	316
37969_at	200	216	322	144	297	295	339	535
37970_at	3766	5052	2087	2254	731	625	616	462
37971_at	6	52	146	162	172	113	116	46
37972_at	202	107	134	117	1169	879	1307	1323
37973_at	148	38	331	325	28	37	42	54
37974_at	161	199	266	331	67	208	95	150
37975_at	16	119	96	115	168	144	43	174
37976_at	562	467	633	497	784	856	1155	1730
37977_at	248	262	322	347	386	310	308	385
37978_at	368	548	73	143	2348	1936	6608	4739
37979_at	80	52	48	8	42	155	81	82
37980_at	314	148	453	445	201	355	414	493
37981_at	1079	1464	2634	2784	316	446	116	82
37982_at	643	774	251	168	1516	1496	5447	4005
37983_at	25	62	109	81	1607	2125	1185	834
37984_s_at	813	802	988	1044	1512	1871	1055	464
37985_at	107	17	581	503	312	238	78	38
37986_at	215	157	12	85	955	939	100	34
37987_at	47	79	132	138	111	127	37	54
37988_at	151	46	69	80	290	293	334	147
37989_at	89	69	28	39	29	20	20	19
37990_at	445	473	387	243	345	312	469	430
37991_at	39	135	184	154	461	338	228	293
37992_s_at	3812	4789	1304	1355	4010	3920	7046	5930
37993_at	1723	1923	1631	1262	2021	1791	2978	2490
37994_at	207	159	307	376	88	101	56	8
37995_s_at	249	204	274	361	95	154	117	13
37996_s_at	370	281	773	711	391	272	276	281
37997_r_at	96	84	76	81	151	84	91	104
37998_at	425	582	222	262	548	564	390	450
37999_at	208	109	165	101	1567	2046	141	283
380_at	51	20	62	49	113	86	92	118
38000_at	514	632	267	233	1992	2393	1182	1121
38001_at	74	85	321	298	4	20	13	46
38002_s_at	121	83	175	64	35	31	195	61
38003_s_at	6610	7584	1076	1151	536	481	488	274
38004_at	57	38	88	61	93	86	82	110
38005_at	119	124	164	59	424	578	197	205
38006_at	38	53	82	56	290	216	132	233
38007_at	48	180	88	156	315	207	98	166
38008_at	1096	955	1771	1671	426	396	298	442
38009_at	40	33	25	24	42	40	38	44
38010_at	1426	1078	713	777	870	894	535	530
38011_at	534	496	788	790	182	249	325	118
38012_at	69	85	84	47	213	175	96	75
38013_at	761	476	269	399	253	347	267	138
38014_at	3243	3656	1889	2058	1381	1649	2243	2039
38015_at	43	8	52	19	54	31	36	52
38016_at	2490	2320	2751	2667	2313	2818	1714	1257
38017_at	118	77	150	43	141	184	142	194
38018_g_at	35	14	37	25	56	42	21	37
38019_at	1615	1961	2381	1859	1145	703	371	469
38020_at	1063	1338	315	468	275	394	672	437
38021_at	2194	3505	1641	1505	1918	1872	2828	2956
38022_s_at	38	226	62	41	53	37	72	79
38023_at	335	426	698	323	680	537	555	551
38024_at	513	450	1145	935	186	201	46	87
38025_r_at	41	10	27	22	24	54	75	40
38026_at	122	145	175	254	222	259	59	114
38027_at	231	190	561	452	107	183	531	360
38028_at	2095	1521	3345	3578	138	72	92	27
38029_at	1810	2431	1170	1340	1995	2310	2274	1893
38030_at	168	120	449	573	32	26	70	40
38031_at	725	600	1177	963	1080	1081	753	768
38032_at	10224	10672	3969	3885	542	438	201	449
38033_at	166	115	351	384	287	311	181	146
38034_at	214	192	133	114	90	26	105	89
38035_at	739	320	750	565	122	107	130	28
38036_at	174	100	270	295	383	440	103	196
38037_at	211	443	471	534	217	163	106	103
38038_at	47	15	78	87	78	73	107	55
38039_at	31	43	33	13	15	11	168	24
38040_at	221	181	356	356	257	355	136	118
38041_at	222	94	353	351	213	162	122	124
38042_at	669	568	719	590	240	201	176	165
38043_at	570	717	220	76	418	524	594	641
38044_at	10907	13138	2158	2271	1238	739	702	1593
38045_at	513	701	667	753	34	55	6	3
38046_at	256	138	351	361	216	251	162	241
38047_at	58	179	46	104	1038	1140	878	1044
38048_at	32	201	7	44	623	287	342	412
38049_g_at	44	26	31	25	509	540	84	73
38050_at	591	332	1917	2000	201	289	87	15
38051_at	7116	7555	206	179	193	164	445	488
38052_at	79	77	246	192	444	299	46	54
38053_s_at	562	734	464	464	499	632	404	683
38054_at	1731	1055	892	928	1693	1454	732	620
38055_at	627	839	586	607	1183	1270	1097	1352
38056_at	2668	2865	2296	2234	2740	2401	2459	3981
38057_at	85	78	364	275	472	481	560	940
38058_at	598	472	665	437	556	515	720	1016
38059_g_at	36	37	64	35	139	170	154	150
38060_at	3878	2906	2174	2622	2560	2605	3668	2390
38061_at	9299	8860	10269	13894	16018	15580	20668	15022
38062_at	1541	1031	651	769	354	412	244	163
38063_at	1191	1251	444	398	787	562	753	659
38064_at	383	432	309	284	524	573	788	581
38065_at	240	133	530	593	4065	4838	108	12
38066_at	174	173	214	196	215	48	42	344
38067_at	445	426	416	324	268	444	249	216
